route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
10,2026H-PVS_10-Semaine-04-10,6368731,ANGERS Provins,6368731,0,100041,1,0
10,2026H-PVS_10-Semaine-04-10,6368732,ANGERS Provins,6368732,0,100039,1,0
10,2026H-PVS_10-Semaine-04-10,6368752,TRÉLAZÉ St-Lézin,6368752,1,100042,1,0
02,2026H-PVS_02-Semaine-04-02,6369099,BEAUCOUZÉ Haute Roche,6369099,1,020040,1,0
31,SUB2526-SUB-VS-Semaine-33-31,3152,ANGERS Hôtel de Ville,3152,0,31A0015,0,0
31,SUB2526-SUB-VS-Semaine-33-31,3153,BRIOLLAY Vérigné,3153,1,31R0014,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359789,ANGERS Gares Papin,6359789,0,220049,0,0
10,2026H-PVS_10-Semaine-04-10,6368758,TRÉLAZÉ St-Lézin,6368758,1,100042,1,0
10,2026H-PVS_10-Semaine-04-10,6368766,TRÉLAZÉ St-Lézin,6368766,1,100042,1,0
31,SUB2526-SUB-SAM-Samedi-22-31,3186,ANGERS Hôtel de Ville,3186,0,31A0015,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359787,ANGERS Gares Papin,6359787,0,220049,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359788,ANGERS Gares Papin,6359788,0,220049,0,0
31,SUB2526-SUB-VS-Semaine-33-31,3157,BRIOLLAY Vérigné,3157,1,31R0014,0,0
31,SUB2526-SUB-VS-Semaine-33-31,3158,ANGERS Hôtel de Ville,3158,0,31A0015,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359775,ANGERS Gares Papin,6359775,0,220049,0,0
10,2026H-PVS_10-Semaine-04-10,6368751,TRÉLAZÉ Gare via St Lézin et ZI,6368751,1,100044,1,0
31,SUB2526-SUB-VS-Semaine-33-31,3161,BRIOLLAY Vérigné,3161,1,31R0014,0,0
31,SUB2526-SUB-SAM-Samedi-22-31,3183,BRIOLLAY Vérigné,3183,1,31R0014,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359776,ANGERS Gares Papin,6359776,0,220049,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359778,ANGERS Gares Papin,6359778,0,220049,0,0
10,2026H-PVS_10-Semaine-04-10,6368756,TRÉLAZÉ St-Lézin,6368756,1,100042,1,0
31,SUB2526-SUB-SAM-Samedi-22-31,3184,ANGERS Hôtel de Ville,3184,0,31A0015,0,0
10,2026H-PVS_10-Semaine-04-10,6368759,TRÉLAZÉ St-Lézin,6368759,1,100042,1,0
31,SUB2526-SUB-SAM-Samedi-22-31,3189,BRIOLLAY Vérigné,3189,1,31R0014,0,0
04,2026H-PVS_04-Semaine-04-04,6368911,BEAUCOUZÉ L'Hoirie,6368911,1,040032,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3350,ANGERS Le Quai,3350,0,33A0004,0,0
10,2026H-PVS_10-Semaine-04-10,6368750,TRÉLAZÉ Gare via St Lézin et ZI,6368750,1,100044,1,0
02,2026H-PVS_02-Semaine-04-02,6369100,BEAUCOUZÉ Haute Roche,6369100,1,020040,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3351,FENEU Croix de Beauvais,3351,1,33R0005,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359780,ANGERS Gares Papin,6359780,0,220049,0,0
10,2026H-PVS_10-Semaine-04-10,6368757,TRÉLAZÉ St-Lézin,6368757,1,100042,1,0
10,2026H-PVS_10-Semaine-04-10,6368760,TRÉLAZÉ St-Lézin,6368760,1,100042,1,0
10,2026H-PVS_10-Semaine-04-10,6368761,TRÉLAZÉ St-Lézin,6368761,1,100042,1,0
04,2026H-PVS_04-Semaine-04-04,6368932,BEAUCOUZÉ L'Hoirie,6368932,1,040032,1,0
04,2026H-PVS_04-Semaine-04-04,6368933,ANGERS Parc Expo,6368933,0,040021,1,0
22,AFF2526-PVS_22-Semaine-03-22,6359781,ANGERS Gares Papin,6359781,0,220049,0,0
05,2026H-PVS_05-Semaine-04-05,6369243,Sens A : 5A Aquavita,6369243,0,050043,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3352,ANGERS Le Quai,3352,0,33A0004,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3353,FENEU ZA Feneu,3353,1,33R0017,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359795,BOUCHEMAINE Chantourteau,6359795,1,220050,0,0
04,2026H-PVS_04-Semaine-04-04,6368912,BEAUCOUZÉ L'Hoirie,6368912,1,040032,1,0
04,2026H-PVS_04-Semaine-04-04,6368913,BEAUCOUZÉ L'Hoirie,6368913,1,040032,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3354,ANGERS Le Quai,3354,0,33A0007,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359783,ANGERS Gares Papin,6359783,0,220049,0,0
04,2026H-PVS_04-Semaine-04-04,6368901,BEAUCOUZÉ L'Hoirie,6368901,1,040032,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3355,FENEU Croix de Beauvais,3355,1,33R0005,0,0
10,2026H-PVS_10-Semaine-04-10,6368753,TRÉLAZÉ Gare via St Lézin et ZI,6368753,1,100044,1,0
10,2026H-PVS_10-Semaine-04-10,6368754,TRÉLAZÉ Gare via St Lézin et ZI,6368754,1,100044,1,0
10,2026H-PVS_10-Semaine-04-10,6368755,TRÉLAZÉ St-Lézin,6368755,1,100042,1,0
10,2026H-PVS_10-Semaine-04-10,6368765,TRÉLAZÉ Gare via St Lézin et ZI,6368765,1,100044,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3356,ANGERS Le Quai,3356,0,33A0004,0,0
04,2026H-PVS_04-Semaine-04-04,6368854,ANGERS Parc Expo,6368854,0,040021,1,0
10,2026H-PVS_10-Semaine-04-10,6368764,TRÉLAZÉ St-Lézin,6368764,1,100042,1,0
04,2026H-PVS_04-Semaine-04-04,6368852,ANGERS Parc Expo,6368852,0,040021,1,0
121,SUB2526-SUB-PSJ-Semaine-12-0010000-121,12101D,ST SYLVAIN - PELLOUAILLES,12101,1,121RD0002,0,0
02,2026H-PVS_02-Semaine-04-02,6369110,BEAUCOUZÉ Haute Roche,6369110,1,020040,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3357,FENEU Croix de Beauvais,3357,1,33R0005,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359786,ANGERS Gares Papin,6359786,0,220049,0,0
04,2026H-PVS_04-Semaine-04-04,6368855,ANGERS Parc Expo,6368855,0,040021,1,0
04,2026H-PVS_04-Semaine-04-04,6368903,BEAUCOUZÉ L'Hoirie,6368903,1,040032,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3358,ANGERS Le Quai,3358,0,33A0004,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3359,FENEU Croix de Beauvais,3359,1,33R0005,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3360,ANGERS Le Quai,3360,0,33A0004,0,0
05,2026H-PVS_05-Semaine-04-05,6369244,Sens A : 5A Aquavita,6369244,0,050043,1,0
05,2026H-PVS_05-Semaine-04-05,6369245,Sens A : 5A Aquavita,6369245,0,050043,1,0
05,2026H-PVS_05-Semaine-04-05,6369263,Sens A : 5A Aquavita,6369263,0,050043,1,0
05,2026H-PVS_05-Semaine-04-05,6369265,Sens A : 5A Aquavita,6369265,0,050043,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3361,FENEU ZA Feneu,3361,1,33R0017,0,0
04,2026H-PVS_04-Semaine-04-04,6368857,ANGERS Parc Expo,6368857,0,040021,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3362,ANGERS Le Quai,3362,0,33A0007,0,0
10,2026H-PVS_10-Semaine-04-10,6368769,ANGERS Provins,6368769,0,100041,1,0
22,AFF2526-PVS_22-Semaine-03-22,6359782,ANGERS Gares Papin,6359782,0,220049,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3363,FENEU Croix de Beauvais,3363,1,33R0005,0,0
02,2026H-PVS_02-Semaine-04-02,6369101,BEAUCOUZÉ Haute Roche,6369101,1,020040,1,0
02,2026H-PVS_02-Semaine-04-02,6369102,BEAUCOUZÉ Haute Roche,6369102,1,020040,1,0
02,2026H-PVS_02-Semaine-04-02,6369103,BEAUCOUZÉ Haute Roche,6369103,1,020040,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3364,ANGERS Le Quai,3364,0,33A0007,0,0
04,2026H-PVS_04-Semaine-04-04,6368850,ANGERS Parc Expo,6368850,0,040021,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3365,FENEU ZA Feneu,3365,1,33R0017,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3366,ANGERS Le Quai,3366,0,33A0007,0,0
04,2026H-PVS_04-Semaine-04-04,6368950,ANGERS Parc Expo,6368950,0,040021,1,0
04,2026H-PVS_04-Semaine-04-04,6368908,BEAUCOUZÉ L'Hoirie,6368908,1,040032,1,0
04,2026H-PVS_04-Semaine-04-04,6368909,BEAUCOUZÉ L'Hoirie,6368909,1,040032,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3367,FENEU Croix de Beauvais,3367,1,33R0005,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3369,FENEU Croix de Beauvais,3369,1,33R0005,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3371,FENEU ZA Feneu,3371,1,33R0017,0,0
33,SUB2526-SUB-SAM-Samedi-22-33,3388,ANGERS Le Quai,3388,0,33A0007,0,0
33,SUB2526-SUB-SAM-Samedi-22-33,3382,ANGERS Le Quai,3382,0,33A0007,0,0
33,SUB2526-SUB-VS-Semaine-33-33,3373,FENEU Croix de Beauvais,3373,1,33R0005,0,0
10,2026H-PVS_10-Semaine-04-10,6368762,TRÉLAZÉ Gare via St Lézin et ZI,6368762,1,100044,1,0
10,2026H-PVS_10-Semaine-04-10,6368763,TRÉLAZÉ St-Lézin,6368763,1,100042,1,0
22,AFF2526-PVS_22-Semaine-03-22,6359784,ANGERS Gares Papin,6359784,0,220049,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359785,ANGERS Gares Papin,6359785,0,220049,0,0
02,2026H-PVS_02-Semaine-04-02,6369106,BEAUCOUZÉ Haute Roche,6369106,1,020040,1,0
33,SUB2526-SUB-VS-Semaine-33-33,3375,FENEU ZA Feneu,3375,1,33R0017,0,0
02,2026H-PVS_02-Semaine-04-02,6369109,BEAUCOUZÉ Haute Roche,6369109,1,020040,1,0
05,2026H-PVS_05-Semaine-04-05,6369246,Sens A : 5A Aquavita,6369246,0,050043,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3380,ANGERS Le Quai,3380,0,33A0007,0,0
33,SUB2526-SUB-SAM-Samedi-22-33,3381,FENEU ZA Feneu,3381,1,33R0017,0,0
04,2026H-PVS_04-Semaine-04-04,6368859,ANGERS Parc Expo,6368859,0,040021,1,0
04,2026H-PVS_04-Semaine-04-04,6368860,ANGERS Parc Expo,6368860,0,040021,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3383,FENEU Croix de Beauvais,3383,1,33R0005,0,0
02,2026H-PVS_02-Semaine-04-02,6369107,BEAUCOUZÉ Haute Roche,6369107,1,020040,1,0
04,2026H-PVS_04-Semaine-04-04,6368954,BEAUCOUZÉ L'Hoirie,6368954,1,040032,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3384,ANGERS Le Quai,3384,0,33A0004,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359794,BOUCHEMAINE Chantourteau,6359794,1,220050,0,0
02,2026H-PVS_02-Semaine-04-02,6369104,BEAUCOUZÉ Haute Roche,6369104,1,020040,1,0
02,2026H-PVS_02-Semaine-04-02,6369105,BEAUCOUZÉ Haute Roche,6369105,1,020040,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3385,FENEU ZA Feneu,3385,1,33R0017,0,0
33,SUB2526-SUB-SAM-Samedi-22-33,3386,ANGERS Le Quai,3386,0,33A0004,0,0
33,SUB2526-SUB-SAM-Samedi-22-33,3387,FENEU ZA Feneu,3387,1,33R0017,0,0
10,2026H-PVS_10-Semaine-04-10,6368767,TRÉLAZÉ Gare via St Lézin et ZI,6368767,1,100044,1,0
10,2026H-PVS_10-Semaine-04-10,6368768,ANGERS Provins,6368768,0,100039,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3389,FENEU ZA Feneu,3389,1,33R0017,0,0
02,2026H-PVS_02-Semaine-04-02,6369120,BEAUCOUZÉ Haute Roche,6369120,1,020040,1,0
05,2026H-PVS_05-Semaine-04-05,6369247,Sens A : 5A Aquavita,6369247,0,050043,1,0
05,2026H-PVS_05-Semaine-04-05,6369248,Sens A : 5A Aquavita,6369248,0,050043,1,0
22,AFF2526-PVS_22-Semaine-03-22,6359793,BOUCHEMAINE Chantourteau,6359793,1,220050,0,0
04,2026H-PVS_04-Semaine-04-04,6368868,ANGERS Parc Expo,6368868,0,040021,1,0
04,2026H-PVS_04-Semaine-04-04,6368925,BEAUCOUZÉ L'Hoirie,6368925,1,040032,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3390,ANGERS Le Quai,3390,0,33A0007,0,0
33,SUB2526-SUB-SAM-Samedi-22-33,3391,FENEU Croix de Beauvais,3391,1,33R0005,0,0
22,AFF2526-PVS_22-Semaine-03-22,6359798,BOUCHEMAINE Chantourteau,6359798,1,220050,0,0
04,2026H-PVS_04-Semaine-04-04,6368897,BEAUCOUZÉ L'Hoirie,6368897,1,040032,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3392,ANGERS Le Quai,3392,0,33A0007,0,0
04,2026H-PVS_04-Semaine-04-04,6368951,ANGERS Parc Expo,6368951,0,040021,1,0
04,2026H-PVS_04-Semaine-04-04,6368952,ANGERS Parc Expo,6368952,0,040021,1,0
04,2026H-PVS_04-Semaine-04-04,6368953,BEAUCOUZÉ L'Hoirie,6368953,1,040032,1,0
33,SUB2526-SUB-SAM-Samedi-22-33,3393,FENEU ZA Feneu,3393,1,33R0017,0,0
04,2026H-PVS_04-Semaine-04-04,6368921,BEAUCOUZÉ L'Hoirie,6368921,1,040032,1,0
04,2026H-PVS_04-Semaine-04-04,6368922,BEAUCOUZÉ L'Hoirie,6368922,1,040032,1,0
37,SUB2526-SUB-VS-Semaine-33-37,3754,ANGERS Le Quai,3754,0,37A0002,0,0
04,2026H-PVS_04-Semaine-04-04,6368904,BEAUCOUZÉ L'Hoirie,6368904,1,040032,1,0
04,2026H-PVS_04-Semaine-04-04,6368891,BEAUCOUZÉ L'Hoirie,6368891,1,040032,1,0
